date,Year,event_id,best_of,system
2018-01-23,2018,3435,3,123412
2018-01-18,2018,3290,3,123412
2018-01-16,2018,3290,3,123412
2017-12-28,2017,3456,3,123412
2017-12-26,2017,3421,3,123412
2017-12-25,2017,3472,3,123412
2017-12-24,2017,3472,3,123412
2017-12-21,2017,3465,3,123412
2017-12-20,2017,3382,3,123412
2017-12-17,2017,3336,3,123412
2017-12-16,2017,2876,3,123412
2017-12-16,2017,3432,3,123412
2017-12-16,2017,3342,3,123412
2017-12-16,2017,3421,3,123412
2017-12-15,2017,3446,3,123412
2017-12-14,2017,3289,3,123412
2017-12-13,2017,3318,3,123412
2017-12-13,2017,3289,3,123412
2017-12-09,2017,3217,3,123412
2017-12-09,2017,3384,3,123412
2017-12-06,2017,3333,3,123412
2017-12-04,2017,3390,3,123412
2017-12-03,2017,3394,3,123412
2017-12-03,2017,3379,3,123412
2017-12-03,2017,3379,3,123412
2017-12-02,2017,3396,3,122143
2017-11-29,2017,3388,3,123412
2017-11-28,2017,3388,3,123412
2017-11-26,2017,3224,3,123412
2017-11-26,2017,3114,3,123412
2017-11-25,2017,3295,3,121234
2017-11-25,2017,3295,3,121234
2017-11-25,2017,3114,3,123412
2017-11-23,2017,3335,3,123412
2017-11-22,2017,3292,3,123421
2017-11-22,2017,3367,3,123412
2017-11-21,2017,3049,3,123412
2017-11-20,2017,3292,3,123421
2017-11-19,2017,3292,3,123421
2017-11-19,2017,3368,3,123412
2017-11-18,2017,3166,3,123412
2017-11-17,2017,3166,3,123412
2017-11-16,2017,3048,3,123412
2017-11-16,2017,3047,3,123412
2017-11-15,2017,3048,3,123412
2017-11-15,2017,3048,3,123412
2017-11-12,2017,3345,3,123412
2017-11-12,2017,3165,3,123421
2017-11-12,2017,3274,3,123412
2017-11-10,2017,3321,3,123412
2017-11-09,2017,3208,3,123412
2017-11-07,2017,3196,3,121234
2017-11-04,2017,3252,3,123421
2017-11-03,2017,3190,3,123412
2017-11-03,2017,3251,3,123421
2017-11-02,2017,3190,3,123412
2017-11-02,2017,3196,3,121234
2017-10-30,2017,3305,3,123412
2017-10-30,2017,3305,3,123412
2017-10-29,2017,3249,3,123421
2017-10-28,2017,3249,3,123412
2017-10-28,2017,3133,3,123412
2017-10-27,2017,3178,3,123412
2017-10-27,2017,3250,3,123421
2017-10-25,2017,3196,3,121234
2017-10-25,2017,3196,3,121234
2017-10-24,2017,3133,3,123412
2017-10-24,2017,3301,3,123412
2017-10-23,2017,2573,3,123412
2017-10-23,2017,3208,3,123412
2017-10-23,2017,3196,3,121234
2017-10-21,2017,2921,3,123412
2017-10-21,2017,3297,3,123412
2017-10-21,2017,3263,3,123412
2017-10-20,2017,3262,3,123412
2017-10-19,2017,3298,3,123421
2017-10-19,2017,3262,3,123412
2017-10-18,2017,3288,3,123412
2017-10-18,2017,3260,3,123412
2017-10-18,2017,3122,3,123412
2017-10-16,2017,3288,3,123412
2017-10-16,2017,3288,3,123412
2017-10-16,2017,3288,3,123412
2017-10-15,2017,3256,3,123421
2017-10-15,2017,3256,3,123421
2017-10-15,2017,3256,3,123421
2017-10-14,2017,3016,3,123421
2017-10-12,2017,3014,3,123412
2017-10-11,2017,3122,3,123412
2017-10-10,2017,3253,3,123421
2017-10-10,2017,3157,3,123412
2017-10-09,2017,2935,3,123412
2017-10-09,2017,3014,3,123412
2017-10-08,2017,3150,3,123412
2017-10-08,2017,3157,3,123412
2017-10-08,2017,3157,3,123412
2017-10-08,2017,3207,3,123412
2017-10-08,2017,2935,3,123412
2017-10-07,2017,3268,3,123412
2017-10-06,2017,3239,3,121234
2017-10-05,2017,3014,3,123412
2017-10-05,2017,3101,3,123412
2017-10-04,2017,3234,3,123412
2017-10-04,2017,3196,3,121234
2017-10-03,2017,3196,3,121234
2017-10-03,2017,3139,3,123412
2017-10-03,2017,3157,3,123412
2017-10-03,2017,3219,3,123412
2017-10-02,2017,3137,3,123412
2017-10-02,2017,3014,3,123412
2017-10-02,2017,3139,3,123412
2017-10-02,2017,3139,3,123412
2017-10-01,2017,3150,3,123412
2017-10-01,2017,3195,3,123412
2017-09-28,2017,3213,3,123412
2017-09-28,2017,3219,3,123412
2017-09-27,2017,3194,3,123412
2017-09-27,2017,3219,3,123412
2017-09-27,2017,3220,3,123412
2017-09-26,2017,3194,3,123412
2017-09-26,2017,3207,2,121234
2017-09-26,2017,3196,3,121234
2017-09-25,2017,3150,3,123412
2017-09-24,2017,3199,3,123412
2017-09-24,2017,2942,3,123412
2017-09-24,2017,2942,3,123412
2017-09-24,2017,3200,3,123412
2017-09-24,2017,3199,3,123412
2017-09-24,2017,3207,2,121234
2017-09-23,2017,2942,3,123412
2017-09-23,2017,2942,3,123412
2017-09-21,2017,3195,3,123412
2017-09-21,2017,3180,3,123412
2017-09-20,2017,3196,3,121234
2017-09-18,2017,3055,2,121234
2017-09-18,2017,3121,3,123412
2017-09-17,2017,3179,3,123412
2017-09-17,2017,3150,3,123412
2017-09-16,2017,3081,3,123412
2017-09-13,2017,3055,2,121234
2017-09-10,2017,3169,3,123412
2017-09-10,2017,3147,3,123412
2017-09-09,2017,3169,3,123412
2017-09-09,2017,2572,3,123412
2017-09-09,2017,3061,3,123412
2017-09-08,2017,3161,3,122143
2017-09-07,2017,3056,2,121234
2017-09-07,2017,3159,3,123412
2017-09-06,2017,3121,3,123412
2017-09-04,2017,2879,3,123412
2017-09-03,2017,3154,3,123412
2017-09-03,2017,3144,3,123412
2017-09-03,2017,3144,3,123412
2017-09-02,2017,3080,3,123412
2017-09-02,2017,2684,3,123412
2017-09-01,2017,2684,3,123412
2017-08-31,2017,2684,3,123412
2017-08-31,2017,3055,2,121234
2017-08-30,2017,3130,3,123412
2017-08-27,2017,3076,3,123412
2017-08-27,2017,3097,3,123412
2017-08-27,2017,3018,3,123412
2017-08-27,2017,3120,3,123412
2017-08-27,2017,3097,3,123412
2017-08-26,2017,3076,3,123412
2017-08-26,2017,3076,3,123412
2017-08-25,2017,3119,3,123412
2017-08-24,2017,3110,3,123412
2017-08-24,2017,3067,3,123412
2017-08-24,2017,3052,3,123412
2017-08-24,2017,3110,3,123412
2017-08-23,2017,2880,3,123412
2017-08-23,2017,3088,3,123412
2017-08-22,2017,3088,3,123412
2017-08-20,2017,3068,3,123412
2017-08-20,2017,3079,3,121234
2017-08-20,2017,3080,3,123412
2017-08-20,2017,3053,3,123412
2017-08-19,2017,2968,3,123412
2017-08-19,2017,3000,3,122143
2017-08-18,2017,3086,3,123412
2017-08-18,2017,3086,3,123412
2017-08-17,2017,3019,3,123412
2017-08-15,2017,3091,3,123412
2017-08-13,2017,3083,3,123412
2017-08-12,2017,3013,3,122143
2017-08-11,2017,3013,3,122143
2017-08-11,2017,3038,3,123412
2017-08-10,2017,2897,3,123412
2017-08-07,2017,2981,3,123412
2017-08-06,2017,2971,3,123412
2017-08-05,2017,2971,3,123412
2017-08-05,2017,2971,3,123412
2017-08-04,2017,3038,3,123412
2017-08-04,2017,2981,3,123412
2017-08-02,2017,3029,3,123412
2017-08-01,2017,2932,3,123412
2017-07-29,2017,2979,2,121234
2017-07-29,2017,3003,3,123412
2017-07-26,2017,2996,3,121234
2017-07-23,2017,2571,3,123412
2017-07-23,2017,2571,3,123412
2017-07-22,2017,2894,3,123412
2017-07-21,2017,2720,3,123421
2017-07-18,2017,2928,3,121234
2017-07-15,2017,2979,2,121234
2017-07-12,2017,2977,1,121234
2017-07-12,2017,2977,1,121234
2017-07-12,2017,2902,3,123412
